siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,totalN,Cl,SO4,Br,hplus,svol,ppt,fullChemLab,daysSample,startDate,lastDate
AK01,Annual,2008,87,100,96,0.080,0.015,0.101,0.036,0.030,0.238,0.077,0.086,0.509,-9,0.017,20418.9,29.756,34,363,"2008-01-02 00:00","2008-12-30 00:00"
AK01,Annual,2009,85,100,88,0.136,0.022,0.025,0.100,0.075,0.406,0.150,0.242,0.912,-9,0.024,16765.8,27.800,29,364,"2008-12-30 00:00","2009-12-29 00:00"
AK01,Annual,2010,88,100,89,0.147,0.020,0.044,0.057,0.254,0.670,0.349,0.164,0.646,-9,0.021,17895.3,33.478,27,364,"2009-12-29 00:00","2010-12-28 00:00"
AK01,Annual,2011,86,100,95,0.100,0.022,0.025,0.097,0.090,0.416,0.164,0.204,0.480,-9,0.019,19303.8,35.839,35,371,"2010-12-28 00:00","2012-01-03 00:00"
AK01,Annual,2012,92,100,89,0.120,0.022,0.033,0.069,0.044,0.432,0.132,0.142,0.447,-9,0.021,14955.9,36.322,32,364,"2012-01-03 00:00","2013-01-01 00:00"
AK01,Annual,2013,85,100,82,0.158,0.033,0.058,0.062,0.145,0.535,0.234,0.145,0.547,-9,0.021,17448.2,41.468,35,364,"2013-01-01 00:00","2013-12-31 00:00"
AK01,Annual,2014,90,100,97,0.087,0.019,0.044,0.044,0.094,0.612,0.211,0.119,0.756,-9,0.039,31337.6,62.441,33,364,"2013-12-31 00:00","2014-12-30 00:00"
AK01,Annual,2015,83,99,92,0.083,0.020,0.044,0.078,0.338,0.677,0.416,0.186,0.623,-9,0.031,26085.7,49.030,29,368,"2014-12-30 00:00","2015-12-29 00:00"
AK01,Annual,2016,88,98,93,0.088,0.024,0.083,0.092,0.428,0.593,0.466,0.209,0.583,-9,0.029,26747.3,48.623,33,372,"2015-12-29 00:00","2017-01-04 00:00"
AK01,Annual,2017,98,100,97,0.111,0.031,0.040,0.182,0.186,0.701,0.303,0.373,0.595,-9,0.031,24553.0,44.374,37,364,"2017-01-04 00:00","2018-01-03 00:00"
AK01,Annual,2018,81,100,87,0.114,0.019,0.043,0.110,0.095,0.611,0.212,0.272,0.515,-9,0.027,24244.8,47.701,31,363,"2018-01-03 00:00","2019-01-01 00:00"
AK01,Annual,2019,79,100,87,0.134,0.029,0.043,0.143,0.324,0.758,0.423,0.343,0.830,-9,0.027,23038.2,47.701,32,364,"2019-01-01 00:00","2019-12-31 00:00"
AK02,Annual,2004,33,53,56,0.206,0.175,0.113,1.729,0.154,1.245,0.401,3.251,1.955,-9,0.058,40334.0,102.895,16,371,"2004-06-22 00:00","2005-01-04 00:00"
AK02,Annual,2005,53,100,47,0.401,0.234,0.150,2.355,0.117,1.520,0.434,4.226,3.224,-9,0.088,51619.4,167.053,25,364,"2005-01-04 00:00","2006-01-03 00:00"
AK02,Annual,2006,56,100,63,0.412,0.108,0.126,0.986,0.161,2.134,0.607,1.829,3.514,-9,0.106,79384.1,179.307,28,364,"2006-01-03 00:00","2007-01-02 00:00"
AK02,Annual,2007,54,100,55,0.323,0.176,0.132,1.791,0.352,2.246,0.781,3.390,3.757,-9,0.113,52574.3,146.772,28,363,"2007-01-02 00:00","2007-12-31 00:00"
AK02,Annual,2008,12,100,7,0.615,0.193,0.123,1.792,0.422,2.126,0.808,3.408,3.900,-9,0.092,8050.8,175.676,5,365,"2007-12-31 00:00","2008-12-30 00:00"
AK02,Annual,2009,13,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9,-9.000,0.0,144.144,0,364,"2008-12-30 00:00","2009-12-29 00:00"
AK02,Annual,2010,45,100,39,0.207,0.085,0.122,0.961,0.085,1.168,0.330,1.776,2.604,-9,0.084,31382.6,121.664,15,364,"2009-12-29 00:00","2010-12-28 00:00"
AK02,Annual,2011,64,100,61,0.358,0.377,0.226,3.128,0.207,1.997,0.612,5.615,5.144,-9,0.131,72083.1,188.417,31,371,"2010-12-28 00:00","2012-01-03 00:00"
AK02,Annual,2012,81,100,89,0.317,0.300,0.211,2.590,0.211,1.991,0.614,4.757,3.312,-9,0.100,98811.6,176.186,38,364,"2012-01-03 00:00","2013-01-01 00:00"
AK02,Annual,2013,92,100,93,0.364,0.279,0.172,2.272,0.279,2.358,0.749,4.245,3.494,-9,0.111,124146.3,214.376,48,364,"2013-01-01 00:00","2013-12-31 00:00"
AK02,Annual,2014,83,100,87,0.255,0.236,0.157,2.161,0.196,1.925,0.587,3.968,3.103,-9,0.115,110273.0,196.418,38,364,"2013-12-31 00:00","2014-12-30 00:00"
AK02,Annual,2015,90,100,89,0.373,0.351,0.197,2.916,0.285,2.083,0.692,5.481,3.025,-9,0.107,125364.2,219.227,45,364,"2014-12-30 00:00","2015-12-29 00:00"
AK02,Annual,2016,92,100,94,0.278,0.295,0.147,2.392,1.310,1.786,1.422,4.407,2.506,-9,0.086,99511.4,163.811,48,371,"2015-12-29 00:00","2017-01-03 00:00"
AK02,Annual,2017,96,100,97,0.299,0.299,0.150,2.542,0.243,1.832,0.603,4.841,2.542,-9,0.107,115153.9,186.893,41,364,"2017-01-03 00:00","2018-01-02 00:00"
AK02,Annual,2018,88,100,89,0.393,0.213,0.115,1.984,0.262,2.049,0.667,3.705,2.427,-9,0.098,94255.4,163.957,42,365,"2018-01-02 00:00","2019-01-02 00:00"
AK02,Annual,2019,83,98,87,0.380,0.380,0.190,3.566,0.317,1.759,0.644,6.609,2.488,-9,0.089,89422.1,158.496,35,363,"2019-01-02 00:00","2019-12-31 00:00"
AK03,Annual,1980,46,54,98,0.105,0.030,0.022,0.105,0.044,0.382,0.121,0.357,0.904,-9,0.019,17965.7,27.648,22,196,"1980-06-17 00:00","1980-12-30 00:00"
AK03,Annual,1981,92,98,96,0.419,0.256,0.164,0.524,0.143,0.671,0.262,0.545,2.235,-9,0.012,26352.8,41.932,37,364,"1980-12-30 00:00","1981-12-29 00:00"
AK03,Annual,1982,72,96,74,0.208,0.072,0.302,0.398,0.043,0.434,0.132,0.521,0.657,-9,0.015,15974.4,35.899,30,378,"1981-12-29 00:00","1983-01-11 00:00"
AK03,Annual,1983,78,100,94,0.267,0.081,0.234,0.361,0.089,0.306,0.138,0.357,1.563,-9,0.020,18168.3,42.460,28,357,"1983-01-11 00:00","1984-01-03 00:00"
AK03,Annual,1984,71,100,80,0.177,0.072,0.089,0.161,0.056,0.519,0.161,0.250,1.896,-9,0.018,19680.3,40.245,23,365,"1984-01-03 00:00","1985-01-02 00:00"
AK03,Annual,1985,54,100,29,0.189,0.085,0.061,0.350,0.066,0.374,0.136,0.454,1.116,-9,0.023,7900.7,47.279,16,363,"1985-01-02 00:00","1985-12-31 00:00"
AK03,Annual,1986,83,100,93,0.084,0.023,0.046,0.091,0.125,0.335,0.173,0.122,0.928,-9,0.018,15715.7,38.013,23,364,"1985-12-31 00:00","1986-12-30 00:00"
AK03,Annual,1987,39,48,69,0.013,0.003,0.006,0.053,0.011,0.053,0.020,0.039,0.064,-9,0.002,2158.7,5.539,10,364,"1986-12-30 00:00","1987-12-29 00:00"
AK03,Annual,1988,91,100,64,0.155,0.027,0.031,0.299,0.058,0.388,0.133,0.295,1.005,-9,0.019,15810.3,38.817,36,371,"1987-12-29 00:00","1989-01-03 00:00"
AK03,Annual,1989,94,100,97,0.092,0.014,0.025,0.117,0.117,0.331,0.166,0.786,0.569,-9,0.024,21001.7,35.544,37,364,"1989-01-03 00:00","1990-01-02 00:00"
AK03,Annual,1990,90,100,98,0.147,0.032,0.083,0.141,0.192,0.729,0.314,0.441,1.074,-9,0.026,38296.4,63.922,39,364,"1990-01-02 00:00","1991-01-01 00:00"
AK03,Annual,1991,96,100,84,0.208,0.039,0.100,0.251,0.513,1.010,0.627,0.386,0.763,-9,0.013,19484.8,38.552,41,364,"1991-01-01 00:00","1991-12-31 00:00"
AK03,Annual,1992,96,100,91,0.179,0.024,0.028,0.183,0.080,0.558,0.188,0.211,0.718,-9,0.010,23712.6,39.864,43,364,"1991-12-31 00:00","1992-12-29 00:00"
AK03,Annual,1993,81,99,76,0.077,0.019,0.023,0.123,0.119,0.564,0.220,0.203,0.726,-9,0.014,19339.3,38.394,26,371,"1992-12-29 00:00","1994-01-04 00:00"
AK03,Annual,1994,88,100,98,0.073,0.017,0.050,0.113,0.083,0.574,0.194,0.199,0.611,-9,0.024,19171.3,33.180,35,364,"1994-01-04 00:00","1995-01-03 00:00"
AK03,Annual,1995,92,100,98,0.035,0.012,0.023,0.067,0.099,0.243,0.132,0.075,0.348,-9,0.015,19123.0,28.972,33,364,"1995-01-03 00:00","1996-01-02 00:00"
AK03,Annual,1996,92,100,99,0.087,0.015,0.023,0.155,0.072,0.337,0.132,0.208,0.431,-9,0.018,21275.7,37.814,33,364,"1996-01-02 00:00","1996-12-31 00:00"
AK03,Annual,1997,88,100,88,0.084,0.017,0.091,0.101,0.185,0.718,0.306,0.160,0.593,-9,0.023,20482.3,34.867,33,364,"1996-12-31 00:00","1997-12-30 00:00"
AK03,Annual,1998,98,100,100,0.052,0.010,0.029,0.026,0.075,0.270,0.119,0.085,0.358,-9,0.015,21874.6,32.563,32,364,"1997-12-30 00:00","1998-12-29 00:00"
AK03,Annual,1999,94,100,99,0.121,0.014,0.038,0.028,0.100,0.425,0.174,0.097,0.366,-9,0.016,20124.5,34.557,38,364,"1998-12-29 00:00","1999-12-28 00:00"
AK03,Annual,2000,89,100,81,0.102,0.011,0.036,0.058,0.087,0.389,0.156,0.149,0.604,-9,0.022,19604.7,36.375,34,371,"1999-12-28 00:00","2001-01-02 00:00"
AK03,Annual,2001,100,100,100,0.073,0.009,0.050,0.021,0.052,0.426,0.137,0.097,0.520,-9,0.017,16269.1,23.647,36,365,"2001-01-02 00:00","2002-01-02 00:00"
AK03,Annual,2002,96,100,100,0.203,0.029,0.116,0.058,0.521,1.053,0.643,0.198,1.497,-9,0.037,32421.2,48.285,34,363,"2002-01-02 00:00","2002-12-31 00:00"
AK03,Annual,2003,82,96,86,0.126,0.014,0.020,0.027,0.170,0.506,0.246,0.061,0.510,-9,0.018,19290.4,33.968,29,364,"2002-12-31 00:00","2003-12-30 00:00"
AK03,Annual,2004,85,100,76,0.093,0.011,0.042,0.039,0.185,0.343,0.221,0.093,0.433,-9,0.012,13256.2,28.090,34,365,"2003-12-30 00:00","2004-12-29 00:00"
AK03,Annual,2005,93,100,91,0.080,0.011,0.044,0.044,0.256,0.500,0.312,0.106,0.526,-9,0.020,22646.3,36.531,32,370,"2004-12-29 00:00","2006-01-03 00:00"
AK03,Annual,2006,94,100,99,0.116,0.019,0.037,0.052,0.063,0.317,0.121,0.149,0.660,-9,0.020,24103.9,37.278,37,364,"2006-01-03 00:00","2007-01-02 00:00"
AK03,Annual,2007,94,100,94,0.056,0.008,0.019,0.021,0.035,0.194,0.071,0.064,0.433,-9,0.015,16897.2,26.543,32,365,"2007-01-02 00:00","2008-01-02 00:00"
AK03,Annual,2008,92,99,97,0.109,0.015,0.095,0.036,0.044,0.302,0.102,0.095,0.462,-9,0.018,22720.7,36.365,36,365,"2008-01-02 00:00","2008-12-30 00:00"
AK03,Annual,2009,77,100,80,0.118,0.015,0.044,0.053,0.030,0.314,0.094,0.257,0.852,-9,0.026,12543.0,29.591,23,364,"2008-12-30 00:00","2009-12-29 00:00"
AK03,Annual,2010,89,100,94,0.091,0.011,0.051,0.031,0.139,0.412,0.201,0.117,0.432,-9,0.017,14370.6,28.448,29,364,"2009-12-29 00:00","2010-12-28 00:00"
AK03,Annual,2011,80,100,94,0.078,0.016,0.022,0.078,0.019,0.187,0.057,0.149,0.355,-9,0.015,15495.6,31.140,30,371,"2010-12-28 00:00","2012-01-03 00:00"
AK03,Annual,2012,85,100,95,0.079,0.016,0.048,0.051,0.091,0.364,0.153,0.139,0.440,-9,0.021,21827.2,39.599,32,364,"2012-01-03 00:00","2013-01-01 00:00"
AK03,Annual,2013,90,100,95,0.086,0.022,0.041,0.071,0.082,0.349,0.143,0.139,0.457,-9,0.016,19263.6,37.490,40,365,"2013-01-01 00:00","2014-01-01 00:00"
AK03,Annual,2014,78,100,80,0.105,0.024,0.032,0.048,0.064,0.462,0.154,0.129,0.708,-9,0.027,17732.7,40.208,26,363,"2014-01-01 00:00","2014-12-30 00:00"
AK03,Annual,2015,88,100,80,0.099,0.016,0.038,0.049,0.363,0.506,0.396,0.121,0.484,-9,0.022,25463.4,54.991,33,364,"2014-12-30 00:00","2015-12-29 00:00"
AK03,Annual,2016,92,100,91,0.075,0.016,0.055,0.040,0.317,0.376,0.331,0.115,0.471,-9,0.022,21889.7,39.573,30,372,"2015-12-29 00:00","2017-01-04 00:00"
AK03,Annual,2017,94,100,98,0.100,0.022,0.033,0.085,0.096,0.392,0.163,0.192,0.448,-9,0.022,19797.7,37.008,33,364,"2017-01-04 00:00","2018-01-03 00:00"
AK03,Annual,2018,96,100,100,0.090,0.020,0.059,0.090,0.082,0.375,0.148,0.191,0.394,-9,0.019,22273.1,39.027,35,365,"2018-01-03 00:00","2019-01-03 00:00"
AK03,Annual,2019,91,98,93,0.198,0.022,0.205,0.073,0.300,0.856,0.427,0.271,0.900,-9,0.048,32638.8,73.188,32,362,"2019-01-03 00:00","2020-01-01 00:00"
AK06,Annual,2008,10,13,92,0.032,0.003,0.007,0.026,0.002,0.016,0.005,0.023,0.021,-9,0.001,1503.8,4.343,4,366,"2008-11-04 00:00","2008-12-23 00:00"
AK06,Annual,2009,70,100,58,0.500,0.040,0.081,0.138,1.010,0.688,0.940,0.272,1.728,-9,0.026,11168.7,33.553,24,364,"2008-12-30 00:00","2009-12-29 00:00"
AK06,Annual,2010,77,100,85,0.111,0.015,0.032,0.044,0.291,0.366,0.309,0.108,0.558,-9,0.015,13401.1,29.083,30,364,"2009-12-29 00:00","2010-12-28 00:00"
AK06,Annual,2011,93,100,99,0.116,0.027,0.067,0.116,0.102,0.575,0.209,0.267,0.708,-9,0.030,24883.0,44.552,39,371,"2010-12-28 00:00","2012-01-03 00:00"
AK06,Annual,2012,71,100,86,0.085,0.013,0.029,0.043,0.131,0.511,0.217,0.131,0.626,-9,0.025,16652.7,32.772,21,365,"2012-01-03 00:00","2013-01-02 00:00"
AK06,Annual,2013,51,100,40,0.083,0.022,0.079,0.058,0.111,0.367,0.169,0.140,0.478,-9,0.018,7786.2,35.946,18,391,"2013-01-02 00:00","2014-01-28 00:00"
AK06,Annual,2014,75,100,91,0.077,0.015,0.042,0.046,0.096,0.395,0.164,0.103,0.533,-9,0.024,19435.4,38.328,26,336,"2014-01-28 00:00","2014-12-30 00:00"
AK06,Annual,2015,72,82,94,0.053,0.010,0.017,0.027,0.160,0.382,0.210,0.083,0.322,-9,0.016,16851.3,33.240,27,368,"2014-12-30 00:00","2015-10-27 00:00"
AK96,Annual,2017,22,22,100,0.022,0.012,0.005,0.087,0.040,0.190,0.074,0.232,0.240,-9,0.003,1085.7,3.785,5,363,"2017-10-12 00:00","2018-01-01 00:00"
AK96,Annual,2018,69,100,90,0.167,0.014,0.033,0.076,0.167,0.767,0.303,0.191,0.491,-9,0.032,22984.5,47.670,26,364,"2018-01-01 00:00","2018-12-31 00:00"
AK96,Annual,2019,59,100,71,0.647,0.040,0.044,0.088,0.189,0.973,0.367,0.291,1.079,-9,0.035,14919.1,44.031,18,364,"2018-12-31 00:00","2019-12-31 00:00"
AK97,Annual,2009,16,16,100,0.035,0.049,0.021,0.442,0.017,0.067,0.028,0.791,0.282,-9,0.004,2376.3,5.867,6,365,"2009-11-02 00:00","2009-12-30 00:00"
AK97,Annual,2010,59,96,66,0.157,0.085,0.089,0.716,0.210,0.850,0.355,1.436,1.999,-9,0.050,15156.7,44.728,24,363,"2009-12-30 00:00","2010-12-28 00:00"
AK97,Annual,2011,74,100,80,0.458,1.014,0.359,8.290,0.134,0.789,0.282,14.862,4.423,-9,0.060,31439.1,70.435,37,371,"2010-12-28 00:00","2012-01-03 00:00"
AK97,Annual,2012,74,100,79,0.174,0.161,0.121,1.295,0.114,0.765,0.261,2.490,1.980,-9,0.043,26526.0,67.112,30,365,"2012-01-03 00:00","2013-01-02 00:00"
AK97,Annual,2013,83,100,79,0.224,0.210,0.105,1.602,0.287,0.714,0.384,3.120,2.336,-9,0.047,24860.2,69.952,36,363,"2013-01-02 00:00","2013-12-31 00:00"
AK97,Annual,2014,79,100,70,0.171,0.225,0.124,1.864,0.248,0.676,0.346,3.572,2.446,-9,0.056,32605.7,77.654,32,364,"2013-12-31 00:00","2014-12-30 00:00"
AK97,Annual,2015,69,100,84,0.199,0.324,0.140,2.658,0.162,0.707,0.286,4.911,2.422,-9,0.050,35257.2,73.632,33,364,"2014-12-30 00:00","2015-12-29 00:00"
AK97,Annual,2016,81,100,89,0.183,0.183,0.133,1.432,0.463,0.814,0.544,2.780,2.324,-9,0.053,34920.1,70.206,38,372,"2015-12-29 00:00","2017-01-04 00:00"
AK97,Annual,2017,94,100,96,0.206,0.330,0.147,2.737,0.147,0.631,0.257,5.226,2.017,-9,0.044,30230.1,58.982,33,363,"2017-01-04 00:00","2018-01-02 00:00"
AK97,Annual,2018,79,95,74,0.304,0.231,0.126,1.962,0.168,1.154,0.391,3.904,2.875,-9,0.075,35198.0,104.933,40,362,"2018-01-02 00:00","2018-12-18 00:00"
AK97,Annual,2019,74,100,81,0.268,0.218,0.159,1.929,0.285,0.956,0.437,3.715,2.289,-9,0.057,28589.0,83.858,36,364,"2018-12-18 00:00","2019-12-31 00:00"
AK99,Annual,2004,23,28,85,0.093,0.014,0.030,0.057,0.352,0.505,0.388,0.131,0.593,-9,0.014,13842.1,27.311,10,368,"2004-05-12 00:00","2005-01-01 00:00"
AK99,Annual,2005,0,4,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9,-9.000,0.0,0.243,0,367,"2005-01-01 00:00","2006-01-01 00:00"
AL02,Annual,2001,54,58,96,0.699,0.294,0.138,2.463,0.864,7.160,2.289,4.412,10.221,-9,0.228,59456.9,91.915,19,364,"2001-06-05 00:00","2002-01-01 00:00"
AL02,Annual,2002,92,100,96,1.404,0.662,0.281,5.374,1.584,10.849,3.682,9.706,17.507,-9,0.328,113016.8,200.534,42,363,"2002-01-01 00:00","2002-12-30 00:00"
AL02,Annual,2003,84,100,86,1.740,0.920,0.547,7.483,2.760,16.061,5.772,13.450,23.544,-9,0.450,125240.3,248.621,35,365,"2002-12-30 00:00","2003-12-30 00:00"
AL02,Annual,2004,98,100,99,1.401,0.616,0.355,5.137,1.700,11.301,3.874,9.022,17.316,-9,0.358,99171.3,186.795,43,364,"2003-12-30 00:00","2004-12-28 00:00"
AL02,Annual,2005,90,100,91,1.341,0.690,0.402,5.595,2.433,11.343,4.453,10.060,18.855,-9,0.352,108351.0,191.612,38,371,"2004-12-28 00:00","2006-01-03 00:00"
AL02,Annual,2006,83,100,79,1.170,0.660,0.349,5.230,2.154,9.277,3.769,9.289,15.939,-9,0.285,65367.9,124.521,32,364,"2006-01-03 00:00","2007-01-02 00:00"
AL02,Annual,2007,96,100,98,1.128,0.624,0.341,4.885,1.470,8.597,3.084,8.790,15.248,-9,0.292,90673.2,148.474,40,365,"2007-01-02 00:00","2008-01-02 00:00"
AL02,Annual,2008,80,100,86,1.523,0.771,0.376,6.040,1.255,7.814,2.740,10.628,12.510,-9,0.220,102538.2,179.224,33,363,"2008-01-02 00:00","2008-12-30 00:00"
AL02,Annual,2009,98,100,100,1.611,0.816,0.458,6.803,2.308,9.807,4.008,11.916,15.297,-9,0.245,132359.1,198.927,43,364,"2008-12-30 00:00","2009-12-29 00:00"
AL02,Annual,2010,2,2,100,0.012,0.008,0.012,0.055,0.018,0.120,0.041,0.092,0.163,-9,0.003,966.7,1.448,1,370,"2009-12-29 00:00","2010-01-05 00:00"
AL03,Annual,2011,73,87,98,1.122,0.286,0.209,1.881,1.628,6.238,2.674,3.158,7.603,-9,0.119,55235.9,110.022,28,364,"2011-02-22 00:00","2012-01-03 00:00"
AL03,Annual,2012,86,100,94,1.224,0.393,0.332,2.614,1.934,7.841,3.274,4.396,9.715,-9,0.167,79782.3,151.082,36,364,"2012-01-03 00:00","2013-01-01 00:00"
AL03,Annual,2013,79,100,90,1.110,0.333,0.270,2.189,1.761,7.202,2.995,3.886,9.819,-9,0.178,98352.5,158.628,35,364,"2013-01-01 00:00","2013-12-31 00:00"
AL03,Annual,2014,87,98,95,0.869,0.244,0.258,1.656,1.588,5.876,2.561,2.904,7.545,-9,0.134,87337.1,135.708,38,364,"2013-12-31 00:00","2014-12-30 00:00"
AL03,Annual,2015,95,99,95,1.069,0.397,0.366,2.581,1.756,7.834,3.134,4.520,8.979,-9,0.180,100322.8,152.705,44,368,"2014-12-30 00:00","2015-12-29 00:00"
AL03,Annual,2016,85,94,97,0.882,0.329,0.282,2.363,1.434,5.842,2.434,4.091,6.171,-9,0.125,77314.9,117.551,32,371,"2015-12-29 00:00","2016-12-13 00:00"
AL10,Annual,1983,34,34,100,0.466,0.160,0.160,0.966,0.696,2.298,1.060,1.612,4.571,-9,0.066,33822.2,50.065,16,125,"1983-08-31 00:00","1984-01-03 00:00"
AL10,Annual,1984,86,100,94,2.179,0.487,0.509,2.378,2.212,9.901,3.956,4.126,16.593,-9,0.227,70855.5,110.623,38,365,"1984-01-03 00:00","1985-01-02 00:00"
AL10,Annual,1985,90,100,96,1.775,0.318,0.318,1.541,1.112,6.484,2.328,2.803,12.799,-9,0.193,59850.7,93.423,36,362,"1985-01-02 00:00","1985-12-30 00:00"
AL10,Annual,1986,92,100,98,1.355,0.286,0.397,1.553,1.322,7.987,2.831,2.699,15.973,-9,0.243,72143.3,110.159,36,365,"1985-12-30 00:00","1986-12-30 00:00"
AL10,Annual,1987,89,100,95,0.729,0.288,0.297,1.755,1.563,7.201,2.841,3.135,12.925,-9,0.224,60892.2,95.885,32,364,"1986-12-30 00:00","1987-12-29 00:00"
AL10,Annual,1988,85,100,89,1.916,0.313,0.182,2.320,0.782,8.760,2.586,3.715,16.177,-9,0.268,77367.9,130.351,40,371,"1987-12-29 00:00","1989-01-03 00:00"
